"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"battery_level","The battery level percentage at the time of the scan","number","2022-05-25","11"
"battery_level_max","The maximum possible battery level percentage at the time of the scan; likely to always be `100`","number","2022-05-25","5"
"battery_plugged","Whether and what kind of power source the device is connected to: `0`: not connected to a power source`1`: AC`2`: dock`4`: USB`8`: wireless charger","number","2022-05-25","1"
"battery_present","Whether a battery is installed in the device","boolean","2022-05-25","5"
"battery_status","Status of the battery: `1`: unknown`2`: charging`3`: discharging`4`: not charging`5`: full","number","2022-05-25","1"
"battery_technology","The technology of the device battery","text","2022-05-25","255"
"battery_temperature","The battery temperature (in tenths of a degree Centigrade) at the time of the scan","number","2022-05-25","11"
"battery_voltage","The battery voltage (in millivolts) at the time of the scan","number","2022-05-25","11"
"power_interactive","Whether the device is in an interactive state, meaning it is awake and ready to be interacted with by the user, usually corresponding to the screen being on","boolean","2022-05-25","5"
"power_save_mode","Whether the device is in power save mode, signaling to applications that they should redice their functionality in order to conserve battery","boolean","2022-05-25","5"
"device_idle_mode","Whether the device is in idle mode (a low-power use state), typically reflecting having been sitting unused and unmoving for a sufficiently long period of time and may involve turning off network access to apps","boolean","2022-05-25","5"
