"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"sim_network_operator_code_a","Similar to the network_operator field, this is the network operator associated with the sim card installed in the device, rather than the current network the device is registered on. Some devices may report null if the network associated with the sim is the same as the current registered network.","text","2020-10-01","10"
"test_mcc_a","The mcc code associated with the SIM card used for the test.","number","2020-10-01","3"
"test_mnc_a","The mnc code associated with the SIM card used for the test.","number","2020-10-01","3"
"test_carrier_a","The carrier sim used for the test.","text","2020-10-01","255"
"network_id_a","CDMA Network Identification Number. This Network ID differs from any network operator identification numbers and is only unique within each system ID for a given operator. Valid values range from 0 to 65535, with 65535 representing unknown.","number","2020-10-01","5"
"pre_connection_type","A number representing the device's connection type as detected before the test begins. Please see the connection type table for an explanation of each type. Connection type as detected before the test starts: 0 = Unknown,1 = Cell, 2 = Wi-Fi, 3 = GPRS, 4 = EDGE, 5 = UMTS, 6 = CDMA, 7 = EVDO0, 8 = EVDOA, 9 = OnexRTT, 10 = HSDPA, 11 = HSPA, 12 = IDEN, 13 = EHRPD, 14 = EVDOB, 15 = LTE, 16 = HSUPA, 17 = HSPAP, 18 = GSM, 19 = TDSCDMA, 20 = IWLAN, 21 = LTE-CA, 24 = NR","number","2020-10-01","4"
"post_connection_type","A number representing the device's connection type as detected at the end of the test. Please see the connection type table for an explanation of each type. Connection type as detected at the end of the test: 0 = Unknown,1 = Cell, 2 = Wi-Fi, 3 = GPRS, 4 = EDGE, 5 = UMTS, 6 = CDMA, 7 = EVDO0, 8 = EVDOA, 9 = OnexRTT, 10 = HSDPA, 11 = HSPA, 12 = IDEN, 13 = EHRPD, 14 = EVDOB, 15 = LTE, 16 = HSUPA, 17 = HSPAP, 18 = GSM, 19 = TDSCDMA, 20 = IWLAN, 21 = LTE-CA, 24 = NR","number","2020-10-01","4"
"pre_device_ip_address_s","The local IP address before test ends.","text","2020-10-01","15"
"post_device_ip_address_s","The local IP address after test ends. ","text","2020-10-01","15"
"android_device_id","Each individual device is assigned a unique ID, which is tied to all the tests taken on the device.","number","2020-10-01","11"
"android_fingerprint","The device model and OS version of the user's device. Not standardized across all manufacturers. Rather than Android fingerprint, rely on the device and hardware fields for accurate information about the device hardware.","text","2020-10-01","100"
"valid_imei_a","This value designates the device's IMEI as a valid number.  0 = False, 1 = True","number","2020-10-01","1"
"imei_s","International Mobile Equipment Identity (IMEI) is the distinct identification number given to a device. In some places, this may be considered personally identifiable information.","text","2020-10-01","32"
"imei_tac_s","Type Allocation Code pulled from the IMEI","number","2020-10-01","8"
"imsi_s","International Mobile Subscriber Identity (IMSI). The number is broken into three pieces of information: MCC, MNC, and the MSIN (mobile subscription identification number). The MSIN can be considered personally identifiable information in some places.","text","2020-10-01","100"
"brand","The consumer facing brand of the device.","text","2020-10-01","255"
"device","The codename assigned to the device by the manufacturer.","text","2020-10-01","255"
"ookla_device_name_a","Mobile device common name as determined by Ookla based on our research on how the device is marketed","text","2020-10-01","100"
"hardware","The device hardware name, as reported by the Android kernel.","text","2020-10-01","255"
